zip,zip_type,primary_city,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,City,CriteriaID,State,StateAbrv,DMARegion,DMARegionCode
01057,STANDARD,Monson,HampdenCounty,America/New_York,413,42.09,-72.31,NA,US,0,7429,Monson,1018310,Massachusetts,MA,"Springfield-Holyoke, MA",543
01059,POBOX,NorthAmherst,HampshireCounty,America/New_York,413,42.4,-72.52,NA,US,0,0,NorthAmherst,1018329,Massachusetts,MA,"Springfield-Holyoke, MA",543
01060,STANDARD,Northampton,HampshireCounty,America/New_York,413,42.32,-72.67,NA,US,0,10304,Northampton,1018343,Massachusetts,MA,"Springfield-Holyoke, MA",543
01061,POBOX,Northampton,HampshireCounty,America/New_York,413,42.32,-72.67,NA,US,0,423,Northampton,1018343,Massachusetts,MA,"Springfield-Holyoke, MA",543
01062,STANDARD,Florence,HampshireCounty,America/New_York,413,42.32,-72.67,NA,US,0,9483,Florence,1018208,Massachusetts,MA,"Springfield-Holyoke, MA",543
01063,UNIQUE,Northampton,HampshireCounty,America/New_York,413,42.32,-72.67,NA,US,0,0,Northampton,1018343,Massachusetts,MA,"Springfield-Holyoke, MA",543
01068,STANDARD,Oakham,WorcesterCounty,America/New_York,"508,774",42.35,-72.05,NA,US,0,1807,Oakham,1018351,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01069,STANDARD,Palmer,HampdenCounty,America/New_York,413,42.16,-72.32,NA,US,0,6950,Palmer,9052630,Massachusetts,MA,"Springfield-Holyoke, MA",543
01070,STANDARD,Plainfield,HampshireCounty,America/New_York,413,42.51,-72.91,NA,US,0,467,Plainfield,1018365,Massachusetts,MA,"Springfield-Holyoke, MA",543
01071,STANDARD,Russell,HampdenCounty,America/New_York,413,42.18,-72.85,NA,US,0,1376,Russell,1018385,Massachusetts,MA,"Springfield-Holyoke, MA",543
01073,STANDARD,Southampton,HampshireCounty,America/New_York,413,42.23,-72.73,NA,US,0,5385,Southampton,1018416,Massachusetts,MA,"Springfield-Holyoke, MA",543
01075,STANDARD,SouthHadley,HampshireCounty,America/New_York,413,42.26,-72.56,NA,US,0,14184,SouthHadley,1018411,Massachusetts,MA,"Springfield-Holyoke, MA",543
01077,STANDARD,Southwick,HampdenCounty,America/New_York,413,42.05,-72.76,NA,US,0,8567,Southwick,1018419,Massachusetts,MA,"Springfield-Holyoke, MA",543
